candidate_id,rank,score,reasoning
CAND_0046525,1,0.8400,"Senior Machine Learning Engineer with 6.1yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.88; based in Pune, Maharashtra"
CAND_0006567,2,0.8394,"Senior AI Engineer with 7.9yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.79; based in Noida, Uttar Pradesh"
CAND_0008425,3,0.8340,"Senior NLP Engineer with 7.8yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.66; based in Kolkata, West Bengal"
CAND_0010257,4,0.8338,"Senior Data Scientist with 6.5yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.72; based in Noida, Uttar Pradesh"
CAND_0093193,5,0.8267,"Senior Machine Learning Engineer with 7.9yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.61; based in Bangalore, Karnataka"
CAND_0071974,6,0.8253,"Senior AI Engineer with 7.8yr exp; 8 core skills matched; strong ML/AI career history; response rate 0.76; based in Vizag, Andhra Pradesh"
CAND_0005649,7,0.8145,"Senior Data Scientist with 7.4yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.57; based in Delhi, Delhi"
CAND_0046064,8,0.8119,"Senior NLP Engineer with 8.9yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.78; based in Coimbatore, Tamil Nadu"
CAND_0018499,9,0.8059,"Senior Machine Learning Engineer with 7.2yr exp; 6 core skills matched; strong ML/AI career history; response rate 0.61; based in Noida, Uttar Pradesh"
CAND_0093912,10,0.8041,"Senior Data Scientist with 5.3yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.66; based in Chandigarh, Chandigarh"
CAND_0005260,11,0.8016,"Senior NLP Engineer with 5.2yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.86; not open to work; based in Chennai, Tamil Nadu"
CAND_0047721,12,0.7919,"Senior Data Scientist with 7.0yr exp; 5 core skills matched; strong ML/AI career history; not open to work; based in Coimbatore, Tamil Nadu"
CAND_0005538,13,0.7918,"Senior AI Engineer with 5.9yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.81; based in Kolkata, West Bengal"
CAND_0086022,14,0.7898,"Senior Applied Scientist with 5.3yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.55; based in Kolkata, West Bengal"
CAND_0064326,15,0.7879,"Search Engineer with 7.6yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.94; based in Gurgaon, Haryana"
CAND_0095528,16,0.7862,"Senior Data Scientist with 5.3yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.55; based in Indore, Madhya Pradesh"
